         0	         9	         0	         0	         7	         0	        21	      4963	         0
         0	         8	         0	         0	         7	         0	        10	      4975	         0
         0	        10	         0	         0	        13	         0	         5	      4972	         0
         0	        10	         0	         0	        23	         0	        20	      4947	         0
         0	        11	         0	         0	        12	         0	        23	      4954	         0
         0	         7	         0	         0	         9	         0	         6	      4978	         0
         0	        10	         0	         0	        15	         0	         9	      4966	         0
         0	         8	         0	         0	        13	         0	        17	      4962	         0
         0	        12	         0	         0	        21	         0	         5	      4962	         0
         0	        11	         0	         0	        11	         0	        17	      4961	         0
         0	         4	         0	         0	        19	         0	         6	      4971	         0
         0	         6	         0	         0	        12	         0	        24	      4958	         0
         0	        14	         0	         0	        19	         0	        26	      4941	         0
         0	         7	         0	         0	        18	         0	        14	      4961	         0
         0	         9	         0	         0	        16	         0	         5	      4970	         0
         0	         5	         0	         0	        17	         0	         6	      4972	         0
         0	         5	         0	         0	        12	         0	        15	      4968	         0
         0	         6	         0	         1	        20	         0	        15	      4958	         0
         0	        13	         0	         0	        12	         0	        26	      4949	         0
         0	         6	         0	         0	        22	         0	        23	      4949	         0
         0	        14	         0	         0	         4	         0	        14	      4968	         0
         0	         6	         0	         0	        14	         0	        17	      4963	         0
         0	         4	         0	         0	        12	         0	        10	      4974	         0
         0	        10	         0	         0	        13	         0	        16	      4961	         0
         0	         8	         0	         0	        12	         0	        13	      4967	         0
         0	         8	         0	         0	        25	         0	         5	      4962	         0
         0	        15	         0	         0	        10	         0	        27	      4948	         0
         0	         9	         0	         0	        19	         0	        11	      4961	         0
         0	         4	         0	         0	        13	         0	         9	      4974	         0
         0	         9	         0	         0	        13	         0	        15	      4963	         0
         0	         5	         0	         0	         7	         0	        15	      4973	         0
         0	         6	         0	         0	         9	         0	        18	      4967	         0
         0	        11	         0	         0	         9	         0	         7	      4973	         0
         0	         9	         0	         0	        15	         0	        14	      4962	         0
         0	         6	         0	         0	        13	         0	        10	      4971	         0
         0	         9	         0	         0	        15	         0	         9	      4967	         0
         0	         0	        28	         0	         0	        46	        11	        23	      4892
         0	         9	         0	         0	        18	         0	        24	      4949	         0
         0	         6	         0	         0	        21	         0	        11	      4962	         0
         0	         4	         0	         1	        11	         0	        15	      4969	         0
